Timestamp,Beacon_Address,Beacon_Major,Beacon_Minor,RSSI_Value,Calculated_Distance,Actual_Distance_Provided
1755681437.7693965,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681437.8772209,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681438.037908,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681438.188066,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681438.3565643,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681438.4995906,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755681438.6651182,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681439.1424024,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681439.3017552,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681439.3688066,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681439.4456382,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681439.5788362,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681439.5949223,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681439.6040227,C3:00:00:39:47:98,1701,1071,-85,2.0892961308540396,5.0
1755681439.6842391,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681439.7517788,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755681439.770443,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681439.8867369,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681439.900351,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681439.9087193,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681439.9888275,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681440.1198697,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681440.2085996,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681440.2196567,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,5.0
1755681440.2954874,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681440.3155577,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
